brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size
68808,for_sale,104900,2,1,0.14,1184837,Saginaw,Michigan,48602,1332
68872,for_sale,93500,3,2,0.23,1677976,Saint Johns,Michigan,48879,1662
82361,for_sale,119000,3,2,0.5,1271515,Oscoda,Michigan,48750,1200
30807,for_sale,132500,3,1,0.12,1206331,Battle Creek,Michigan,49015,1048
82369,for_sale,460000,3,3,4,1237239,Alpena,Michigan,49707,2700
52528,for_sale,264900,3,2,0.17,1587573,Ypsilanti,Michigan,48198,1404
105025,for_sale,85000,3,3,0.12,28765,Detroit,Michigan,48228,1007
938,for_sale,84000,3,2,0.11,414231,Detroit,Michigan,48227,1651
38450,for_sale,174900,3,2,2.08,183866,Carleton,Michigan,48117,1000
51830,for_sale,110000,3,3,0.11,469092,Detroit,Michigan,48235,1222
83207,for_sale,249900,3,2,1.66,979063,Sodus,Michigan,49126,2430
80833,for_sale,169900,3,2,0.12,786653,Eastpointe,Michigan,48021,1132
55202,for_sale,225000,3,2,1.69,878424,Chesterfield,Michigan,48047,1150
83178,for_sale,79000,3,1,0.1,354602,Port Huron,Michigan,48060,1116
81326,for_sale,190000,3,2,0.46,911455,Kimball Township,Michigan,48074,1206
81326,for_sale,155000,3,2,0.25,859910,Roseville,Michigan,48066,936
52809,for_sale,154999,4,1,0.07,902873,Hamtramck,Michigan,48212,980
106554,for_sale,235000,3,2,0.18,971687,Warren,Michigan,48093,1516
53470,for_sale,39900,2,1,0.05,1100952,Detroit,Michigan,48214,994
409,for_sale,65000,3,1,0.1,1426350,Detroit,Michigan,48213,1070
100380,for_sale,280000,3,2,0.15,1204483,Royal Oak,Michigan,48073,1300
66362,for_sale,275000,3,1,0.28,1439390,Ray Township,Michigan,48096,2408
76136,for_sale,305000,5,4,0.14,710039,Detroit,Michigan,48206,2074
75202,for_sale,179900,3,1,0.12,999406,Wyandotte,Michigan,48192,1400
30807,for_sale,515000,2,1,0.13,43386,Ann Arbor,Michigan,48103,730
45733,for_sale,345000,1,2,0.04,1489961,Dexter,Michigan,48130,1005
10627,for_sale,525000,4,4,10.06,1322466,Clinton,Michigan,49236,3081
23022,for_sale,844500,4,5,0.84,1277617,Marion Township,Michigan,48843,3876
51904,for_sale,375000,3,3,0.68,555410,Oceola Township,Michigan,48843,1860
52681,for_sale,349900,3,3,0.26,452651,Fenton,Michigan,48430,2006
75746,for_sale,210000,3,2,0.13,1043328,Westland,Michigan,48185,1100
87026,for_sale,549900,4,4,0.7,1731067,Clarkston,Michigan,48348,2980
30818,for_sale,499900,4,4,0.21,1421739,Milford,Michigan,48381,3121
51873,for_sale,519900,3,3,0.57,114310,Oxford Township,Michigan,48371,2286
52804,for_sale,210000,3,2,9.9,1256843,Columbiaville,Michigan,48421,1744
82338,for_sale,239900,3,2,0.3,1461832,Caro,Michigan,48723,1907
10521,for_sale,30000,3,1,0.11,402925,Saginaw,Michigan,48602,960
67713,for_sale,135000,3,1,0.38,305768,Bath,Michigan,48808,960
98241,for_sale,199900,3,2,1,888416,Freeland,Michigan,48623,1188
78852,for_sale,145000,3,1,0.3,1289138,Midland,Michigan,48640,1116
82411,for_sale,180000,3,4,0.45,1416599,Essexville,Michigan,48732,3507
65529,for_sale,169900,3,2,4.73,1083652,Harrison,Michigan,48625,1500
84534,for_sale,165000,3,1,0.5,694445,Okemos,Michigan,48864,1085
45760,for_sale,350000,3,1,6.26,1368291,Stockbridge,Michigan,49285,2072
61602,for_sale,279900,4,3,0.21,1015398,Lansing,Michigan,48911,2729
6373,for_sale,189900,4,2,1.68,1302006,Eaton Rapids,Michigan,48827,1480
75601,for_sale,175000,3,2,0.18,997574,Blanchard,Michigan,49310,1900
93588,for_sale,143500,4,3,0.34,625043,Bellevue,Michigan,49021,2298
79103,for_sale,129900,3,1,3.79,1491905,Bellevue,Michigan,49021,1116
30253,for_sale,185000,3,2,0.23,56743,Jackson,Michigan,49203,1519
35517,for_sale,360000,4,3,10.71,1462554,Jackson,Michigan,49201,2475
65058,for_sale,149900,4,1,0.15,166343,Battle Creek,Michigan,49015,1022
30807,for_sale,465185,2,2,0.15,1700189,Kalamazoo,Michigan,49009,1443
30807,for_sale,169000,3,1,0.15,949732,Gobles,Michigan,49055,984
9906,for_sale,135000,4,1,0.18,1497014,Kalamazoo,Michigan,49048,1672
20677,for_sale,749900,4,5,10.82,1149999,Galesburg,Michigan,49053,4890
78812,for_sale,125000,3,2,0.1,1242537,Adrian,Michigan,49221,1506
76804,for_sale,389000,3,3,0.33,1164348,Jackson,Michigan,49201,2078
45825,for_sale,359900,3,3,0.26,1154989,Tecumseh,Michigan,49286,1761
35524,for_sale,274900,3,3,1.41,1036548,Twin Lake,Michigan,49457,2000
78398,for_sale,199900,5,2,3.5,555752,Big Rapids,Michigan,49307,1752
86271,for_sale,899000,3,2,40,1472439,White Cloud,Michigan,49349,1360
81879,for_sale,259900,3,2,1.13,1281693,Kent City,Michigan,49330,1350
23102,for_sale,399000,3,2,0.28,104550,West Olive,Michigan,49460,1487
35514,for_sale,279900,3,2,0.03,311975,Grand Rapids,Michigan,49544,1800
9906,for_sale,229900,4,2,0.4,1537944,Grand Rapids,Michigan,49548,1600
52709,for_sale,787450,4,4,1.26,1087997,Grand Rapids,Michigan,49525,3711
35522,for_sale,99800,3,2,0.41,872642,Muskegon,Michigan,49442,1628
30769,for_sale,799900,4,2,1.04,1167748,Grand Rapids,Michigan,49503,1866
35524,for_sale,299900,3,3,0.93,72735,Whitehall,Michigan,49461,1530
2515,for_sale,174900,3,1,0.62,1550733,Twin Lake,Michigan,49457,920
56076,for_sale,389900,3,3,9.66,1514830,West Olive,Michigan,49460,1750
53961,for_sale,499500,4,4,0.77,1602467,Traverse City,Michigan,49696,2936
99189,for_sale,565000,3,3,2.39,1457702,Empire,Michigan,49630,2686
54370,for_sale,759000,3,1,1.7,1588267,Petoskey,Michigan,49770,1000
92409,for_sale,110000,3,1,0.33,22609,Sault Sainte Marie,Michigan,49783,1360
81034,for_sale,179900,3,1,0.2,130529,Hancock,Michigan,49930,1646
28656,for_sale,155000,4,2,0.12,1693409,Ontonagon,Michigan,49953,1300
81270,for_sale,124900,2,1,0.12,552612,Redford,Michigan,48240,943
15303,for_sale,62000,3,2,0.1,616803,Detroit,Michigan,48234,1245
27900,for_sale,38000,2,1,0.12,594413,Detroit,Michigan,48205,721
36581,for_sale,340000,3,2,0.25,945803,Saline,Michigan,48176,1783
30807,for_sale,89500,3,1,0.14,897392,Flint,Michigan,48507,990
10521,for_sale,59900,2,1,0.11,714873,Saginaw,Michigan,48602,855
1197,for_sale,72900,3,2,0.5,302757,Harrisville,Michigan,48740,1700
106847,for_sale,279000,2,2,31.75,1009614,Mount Pleasant,Michigan,48858,1496
45760,for_sale,189900,3,2,0.34,459032,Jackson,Michigan,49203,1836
35504,for_sale,295000,3,1,0.09,1167022,Traverse City,Michigan,49686,1127
54171,for_sale,249900,3,2,0.46,171687,Temperance,Michigan,48182,1812
22290,for_sale,278685,3,3,0.19,628319,Monroe,Michigan,48162,1435
57740,for_sale,54000,3,1,0.08,1833291,Detroit,Michigan,48227,904
81326,for_sale,44000,2,1,0.06,590112,Detroit,Michigan,48235,911
82355,for_sale,425000,3,3,0.75,785372,New Boston,Michigan,48164,2720
18885,for_sale,588800,4,3,1.39,676301,Southfield,Michigan,48075,3335
52976,for_sale,279900,3,2,0.12,686030,Farmington Hills,Michigan,48336,1480
5156,for_sale,150000,3,1,0.14,639856,Dearborn,Michigan,48124,1102
11848,for_sale,310000,3,3,0.16,1505908,Canton,Michigan,48187,1559
30807,for_sale,209900,3,2,0.08,1516402,Dearborn,Michigan,48126,1204
78163,for_sale,75000,3,2,0.15,1211408,Niles,Michigan,49120,1300
25775,for_sale,319000,3,3,3,900110,Niles,Michigan,49120,2038
45918,for_sale,1395000,4,5,0.75,1014380,Niles,Michigan,49120,5751
958,for_sale,525000,3,3,0.28,553184,New Buffalo,Michigan,49117,1722
967,for_sale,395000,4,3,0.4,1254120,Saint Joseph,Michigan,49085,2500
30807,for_sale,489000,4,2,35.02,1675931,Kenockee Township,Michigan,48006,2100
82417,for_sale,99900,3,1,2,842758,Riley Township,Michigan,48041,1200
23081,for_sale,375000,3,2,0.16,1102960,Harrison Township,Michigan,48045,1740
81496,for_sale,224900,3,1,0.33,1578289,Richmond,Michigan,48062,1040
15877,for_sale,399900,3,2,1.27,1303646,Chesterfield Township,Michigan,48047,1700
52648,for_sale,899000,4,4,1,1294509,Chesterfield Township,Michigan,48047,4100
926,for_sale,335000,3,1,0.2,1791599,Royal Oak,Michigan,48067,1289
46838,for_sale,179900,3,2,0.13,682568,Saint Clair Shores,Michigan,48082,1058
82256,for_sale,210000,3,1,0.12,941763,Madison Heights,Michigan,48071,1210
81496,for_sale,475000,4,2,0.14,1191822,Berkley,Michigan,48072,1852
82626,for_sale,239900,3,1,0.16,647785,Saint Clair Shores,Michigan,48081,1037
25129,for_sale,109900,2,1,0.13,636713,Detroit,Michigan,48234,1015
60241,for_sale,35000,3,2,0.08,1345431,Detroit,Michigan,48213,1480
53564,for_sale,38500,4,2,0.07,477397,Detroit,Michigan,48203,2016
60242,for_sale,159900,3,1,0.1,693520,Ferndale,Michigan,48220,1003
53214,for_sale,30000,3,1,0.06,573103,Detroit,Michigan,48203,726
51859,for_sale,185000,3,2,0.14,747075,Grosse Pointe Woods,Michigan,48236,1286
39421,for_sale,749900,4,5,0.23,1595436,Royal Oak,Michigan,48073,2860
79575,for_sale,319999,3,3,0.31,832940,Farmington Hills,Michigan,48334,2325
15877,for_sale,399900,3,2,1.08,648270,Clinton Township,Michigan,48036,1615
15565,for_sale,69900,3,1,0.15,1160579,Inkster,Michigan,48141,1036
84534,for_sale,350000,4,2,0.29,1505882,Canton,Michigan,48187,1956
81396,for_sale,499900,3,1,0.27,945782,Ann Arbor,Michigan,48103,1050
40692,for_sale,500000,4,3,0.75,1659319,Saline,Michigan,48176,2450
56054,for_sale,489900,4,3,0.79,1768996,Hamburg Township,Michigan,48169,2513
79568,for_sale,340000,3,2,0.92,884364,Hartland Township,Michigan,48353,2128
60542,for_sale,226600,3,1,1.5,1453409,Addison Township,Michigan,48367,1422
22562,for_sale,279000,3,2,2,510842,Sandusky,Michigan,48471,1600
89943,for_sale,419900,4,3,0.55,1885490,White Lake,Michigan,48386,2031
15894,for_sale,499900,4,4,0.89,1690880,Grand Blanc,Michigan,48439,2991
19688,for_sale,199959,3,2,2.4,382703,Clio,Michigan,48420,1976
59481,for_sale,64900,2,1,0.13,909395,Flint,Michigan,48506,717
79257,for_sale,325000,3,2,10.11,1714371,Genesee,Michigan,48458,1632
52681,for_sale,39900,3,1,0.19,204956,Flint,Michigan,48507,1221
14492,for_sale,119900,3,2,0.36,980594,Mount Morris Township,Michigan,48504,1420
105482,for_sale,159500,3,2,0.17,833215,Flint,Michigan,48507,1380
10823,for_sale,209000,3,3,0.34,1377972,Genesee,Michigan,48506,1500
16144,for_sale,174900,3,2,0.35,1353288,Saginaw,Michigan,48603,1540
16144,for_sale,239000,2,1,0.26,934598,Beaverton,Michigan,48612,1184
46274,for_sale,185000,2,2,0.52,899137,Lewiston,Michigan,49756,960
60669,for_sale,459000,5,4,0.72,1833944,Freeland,Michigan,48623,2864
10502,for_sale,295000,3,3,0.75,1672927,Ogemaw Township,Michigan,48635,1200
43296,for_sale,239900,2,1,0.24,1175824,Greenbush,Michigan,48738,1100
4120,for_sale,309900,4,3,1.03,208658,Rives Junction,Michigan,49277,1822
52528,for_sale,224900,3,2,1.55,1346693,Stockbridge,Michigan,49285,1300
54401,for_sale,309900,4,3,1,1087157,Hastings,Michigan,49058,1870
9906,for_sale,360000,4,3,0.28,105290,Lowell,Michigan,49331,1830
86776,for_sale,125000,3,2,1.3,376408,Weidman,Michigan,48893,1280
16275,for_sale,449900,3,4,0.65,1830172,Canadian Lakes,Michigan,49346,3473
16275,for_sale,210000,3,2,0.21,193390,Canadian Lakes,Michigan,49346,1224
109503,for_sale,125900,3,3,0.78,686351,Blanchard,Michigan,49310,1920
53374,for_sale,269500,4,3,0.35,502342,Howard City,Michigan,49329,2332
109074,for_sale,105000,3,1,0.12,610820,Jackson,Michigan,49203,1126
78224,for_sale,215000,2,1,0.94,1554642,Kalamazoo,Michigan,49009,1047
10387,for_sale,249990,3,1,20,1117864,Bangor,Michigan,49013,1216
923,for_sale,724995,4,2,0.08,1063989,South Haven,Michigan,49090,1969
30253,for_sale,99000,3,2,0.14,1769695,Albion,Michigan,49224,1512
78812,for_sale,174900,3,2,0.3,242800,Onsted,Michigan,49265,2010
92604,for_sale,340000,3,3,0.48,555990,Liberty Township,Michigan,49234,1664
107185,for_sale,394900,3,2,0.22,1499103,Allendale,Michigan,49401,1524
10526,for_sale,639900,6,4,0.27,1615903,Byron Center,Michigan,49315,3379
102627,for_sale,481900,4,3,0.31,1525077,Byron Center,Michigan,49315,2147
58063,for_sale,375000,8,5,10,1748325,Free Soil,Michigan,49411,5000
63446,for_sale,325000,2,1,14,1232134,Muskegon,Michigan,49444,864
40338,for_sale,249900,3,1,0.07,1515000,Grand Rapids,Michigan,49506,1428
33736,for_sale,215000,2,1,0.41,1060201,Holland,Michigan,49424,1145
23099,for_sale,289900,4,2,0.78,1641415,Holland,Michigan,49424,2418
16899,for_sale,119900,5,2,0.15,260271,Scottville,Michigan,49454,2145
22563,for_sale,179900,4,1,0.14,855992,Manistee,Michigan,49660,1380
78398,for_sale,140000,3,2,4.52,1755510,Luther,Michigan,49656,1080
22903,for_sale,170000,2,2,1.78,1831192,Fife Lake,Michigan,49633,1650
55131,for_sale,367500,3,3,0.4,587805,Traverse City,Michigan,49685,1282
22889,for_sale,149000,2,1,2,516638,Afton,Michigan,49705,800
10752,for_sale,164900,3,2,0.23,1378871,Topinabee,Michigan,49791,1485
69755,for_sale,2600000,10,8,1.82,1875909,Onota Township,Michigan,49806,4300
75984,for_sale,299900,4,3,3.78,1928159,Meyer Township,Michigan,49847,3600
68255,for_sale,89900,3,2,0.17,401170,Menominee,Michigan,49858,1624
15465,for_sale,94000,2,1,1.96,1092126,Watersmeet,Michigan,49969,720
91986,for_sale,350000,3,2,0.24,1604376,Algonac,Michigan,48001,1613
92353,for_sale,54000,4,2,0.07,777816,Detroit,Michigan,48238,1020
80962,for_sale,70000,3,1,0.09,1730582,Detroit,Michigan,48228,1100
78163,for_sale,495000,4,2,6.98,1187557,Galesburg,Michigan,49053,2190
88951,for_sale,294999,3,2,0.5,1951007,Newaygo,Michigan,49337,2239
81900,for_sale,124900,2,1,0.14,718086,Muskegon Heights,Michigan,49444,848
67575,for_sale,144900,4,1,0.11,897806,Westland,Michigan,48186,1186
15565,for_sale,89900,3,2,0.09,476895,Detroit,Michigan,48235,1153
30807,for_sale,106000,4,1,0.13,590530,Detroit,Michigan,48235,1215
68167,for_sale,239900,3,2,0.21,559055,Trenton,Michigan,48183,1283
32095,for_sale,225000,3,2,0.22,1491780,Dearborn Heights,Michigan,48127,1222
16637,for_sale,112500,3,2,8.5,1770940,Allen,Michigan,49227,1108
16935,for_sale,274900,3,2,0.27,1064390,Saint Joseph,Michigan,49085,1720
78499,for_sale,199000,4,2,0.28,1468177,Sturgis,Michigan,49091,1976
49513,for_sale,165000,4,2,2.44,833742,Sturgis,Michigan,49091,2036
24365,for_sale,489900,3,3,2.03,1303944,Almont Township,Michigan,48003,2025
52804,for_sale,439900,4,3,0.13,905176,Chesterfield,Michigan,48047,2484
52804,for_sale,475000,3,3,0.17,1254254,Chesterfield Township,Michigan,48047,1936
82376,for_sale,285000,3,3,0.17,1065055,Sterling Heights,Michigan,48312,1453
53470,for_sale,90000,3,2,0.45,507271,Roseville,Michigan,48066,1498
83181,for_sale,399900,5,4,0.28,1430529,Grosse Pointe Woods,Michigan,48236,2800
70127,for_sale,29900,2,1,0.08,573130,Detroit,Michigan,48203,794
13061,for_sale,39500,3,1,0.11,624284,Detroit,Michigan,48205,1255
57740,for_sale,160000,3,1,0.15,90473,Royal Oak,Michigan,48220,953
2410,for_sale,80000,5,2,0.08,1014762,Detroit,Michigan,48206,2352
76136,for_sale,119000,2,1,0.07,428205,Detroit,Michigan,48238,1128
82626,for_sale,169900,3,2,0.13,422731,Redford,Michigan,48239,1167
96269,for_sale,679000,5,3,0.88,726020,West Bloomfield Township,Michigan,48323,3133
52804,for_sale,269000,3,2,0.17,140531,Sterling Heights,Michigan,48312,1464
30807,for_sale,250000,4,2,0.47,557156,Walled Lake,Michigan,48390,1721
82626,for_sale,349900,3,3,0.23,1129361,Sterling Heights,Michigan,48313,1838
84911,for_sale,499000,3,2,0.11,46736,Ann Arbor,Michigan,48103,1533
33599,for_sale,449900,3,4,4.08,835197,Chelsea,Michigan,48118,2000
105834,for_sale,140000,4,2,0.08,500732,Melvindale,Michigan,48122,1200
9836,for_sale,1450000,4,4,0.56,1521354,Grosse Pointe Farms,Michigan,48236,4587
52681,for_sale,466700,3,3,0.51,1229413,South Lyon,Michigan,48178,2050
84909,for_sale,425000,3,2,0.26,1595787,Ann Arbor,Michigan,48103,1052
30807,for_sale,190000,3,2,0.07,1593779,Hamburg Township,Michigan,48189,1852
45698,for_sale,1190000,3,2,20.18,973694,South Lyon,Michigan,48178,1362
22290,for_sale,159900,3,2,0.13,1205645,Monroe,Michigan,48162,1144
68365,for_sale,299900,4,2,0.19,555587,West Bloomfield Township,Michigan,48324,1521
107065,for_sale,199999,3,2,0.22,1333643,Grand Blanc,Michigan,48439,1490
